hairs	9	ns
half	9	a j n
hall	9	n
hammer	9	n v
hand	9	n v
handle	9	n v vt
hands	9	n ns vs
hang	9	n v vt
hanging	9	n vg
hard	9	a j
harmony	9	n
has	9	
hat	9	n v
have	9	v vt
having	9	
hawk	9	n v vi
hay	9	n v
he	9	n pn
head	9	n v
heads	9	ns vs
health	9	n
heap	9	n v
heard	9	j
heart	9	n
heat	9	n v
heated	9	j
heavily	9	a
heavy	9	a j n
hebrew	9	n
hedge	9	n v
held	9	j
hell	9	n vt
help	9	v vt
hen	9	n
hence	9	a
her	9	pn
heraldry	9	n
herb	9	n
herbs	9	ns
hes	9	ns
hide	9	n v vt
high	9	a j n
higher	9	jr
highest	9	
highly	9	a
hill	9	n v
him	9	pn
himself	9	
hind	9	j n
hip	9	i n
his	9	pn
history	9	n
hog	9	n v vi
hold	9	n v vt
holding	9	vg
holds	9	ns vs
hole	9	j n v
holes	9	ns vs
hollow	9	j n v
holy	9	j
home	9	a j n v
honey	9	j n v
honor	9	n v
honour	9	n
hood	9	n v
hook	9	n v
horizontal	9	j n
hormone	9	n
horn	9	n v
horse	9	n v
horses	9	ns vs
hot	9	j
hour	9	n
house	9	n v
houses	9	ns vs
how	9	a n
human	9	j
humans	9	
humor	9	n v
hundred	9	j n
hung	9	
hunt	9	n v vt
hunting	9	vg
husband	9	n
i	9	a n pn
ice	9	n v
identified	9	j
if	9	c
ii	9	
ill	9	a j
imitation	9	n
immediately	9	a
importance	9	n
important	9	j
impression	9	n
in	9	a j p
incapable	9	j
inclined	9	j
included	9	j
includes	9	vs
including	9	
increase	9	n v vi
increased	9	j
increases	9	ns vs
india	9	
indian	9	j
indicating	9	
indies	9	ns
individual	9	j n
individuals	9	ns
infections	9	ns
inferior	9	j n
inflammation	9	n
influence	9	n v
influenced	9	
inhabitant	9	n
inhabitants	9	ns
injury	9	n
ink	9	n v
inner	9	j
insect	9	n
insects	9	ns
inside	9	a j n
instead	9	a
instrument	9	n v
instruments	9	ns vs
intended	9	j
intensity	9	n
interest	9	n v vt
interests	9	ns vs
interjection	9	n
into	9	p
intransitive	9	j
introduced	9	
involved	9	j
involves	9	vs
involving	9	
ion	9	n
ireland	9	
irish	9	j
iron	9	n v
irregular	9	j n
is	9	
ish	9	n
islamic	9	
islands	9	ns
ism	9	n
israel	9	
issue	9	n v vi
issued	9	
issues	9	ns vs
it	9	pn
italian	9	j
italy	9	
items	9	ns
its	9	
itself	9	pn
jack	9	n v
jaw	9	n vt
jewish	9	
john	9	n
join	9	v vt
joined	9	j
joint	9	j n v
joints	9	ns vs
joy	9	n
judge	9	n v vi
judgment	9	n
juice	9	n
just	9	a j n
justice	9	n
kam	9	j
kat	9	n
keep	9	n v vt
keeping	9	n vg
keeps	9	ns vs
kept	9	
ket	9	n
key	9	n v
kill	9	n v vt
killed	9	
kin	9	n
kind	9	j n vt
king	9	n
knee	9	n
knife	9	n v
knight	9	n v
knot	9	n v
know	9	n v vt
knowledge	9	n
known	9	j
la	9	i n
labor	9	n v
labour	9	n
lace	9	n v
lacking	9	j
lady	9	n
laid	9	j
lakes	9	ns
lamp	9	n vi
land	9	n v
lands	9	ns vs
language	9	n
lap	9	n v vt
lar	9	n
large	9	a j n
larger	9	
largest	9	
larvae	9	
last	9	a j n v vi
late	9	a j
later	9	a
latin	9	j
law	9	n
laws	9	ns
lay	9	j n v vt
layers	9	ns vs
lead	9	n v vt
leading	9	j vg
leads	9	ns vs
leaf	9	n v
lean	9	j v vi
leap	9	n v vi
leather	9	n v
leave	9	n v vi vt
leaves	9	ns vs
led	9	
left	9	a j n
leg	9	n
legal	9	j
legally	9	a
legs	9	n ns
length	9	n
lent	9	n
less	9	a j
let	9	n v vt
lets	9	ns vs
letter	9	n v
letters	9	n ns vs
level	9	j n v
levels	9	ns vs
li	9	n
liable	9	j
lie	9	n v vi
life	9	n
light	9	j n v vi
lightly	9	a
like	9	j n v vt
limbs	9	ns
lime	9	n v
limit	9	n v
limits	9	ns vs
lin	9	vi
line	9	n v vt
linen	9	n
lines	9	ns vs
ling	9	n
lip	9	n
lips	9	ns
liquid	9	j n
liquids	9	ns
liquor	9	n
list	9	n v vi vt
lit	9	
literary	9	j
little	9	a j n
live	9	a j v vi
lived	9	
lives	9	n vs
living	9	j n
load	9	n v vt
located	9	j
lock	9	n v
log	9	n v
logia	9	ns
logic	9	n
london	9	
long	9	a c j vi
look	9	n v vi
looked	9	
looking	9	j n vg
loose	9	a j vt
lord	9	n v
lose	9	v vt
loss	9	n
lost	9	j
lot	9	n v
loud	9	j
love	9	n v
low	9	a j n vi
lower	9	jr v vi
lowest	9	a
lowgrowing	9	
lum	9	n
lungs	9	ns
lying	9	j n
m	9	
ma	9	n
machine	9	n v
mad	9	j
made	9	j
mag	9	n vi vt
maid	9	n
main	9	j n
make	9	n v vt
makes	9	vs
making	9	n
male	9	j n
man	9	n v
manner	9	n
manners	9	n ns
many	9	j
mar	9	v vt
march	9	n v vi
marine	9	j n
mark	9	n v
marked	9	j
market	9	n v
marks	9	ns vs
marriage	9	n
married	9	j n
mass	9	n v
mast	9	n
master	9	n v
mat	9	j n
match	9	n v
material	9	j n
materials	9	ns
mathematics	9	n
matter	9	n
matters	9	ns
may	9	n vi
me	9	
meal	9	n
mean	9	j n v vi vt
meaning	9	n vg
means	9	n ns vs
measure	9	n v
measuring	9	
meat	9	n
mechanical	9	j
medicine	9	n
medieval	9	j
mediumsized	9	
meet	9	j n v vt
meeting	9	n vg
member	9	n
members	9	ns
membrane	9	n
men	9	
ment	9	
mental	9	j
mere	9	j n
merely	9	a
met	9	
metal	9	n v
metallic	9	j n
metals	9	vs
method	9	n
methods	9	ns
mexico	9	
mi	9	n
mid	9	j
middle	9	j n v
miles	9	ns
military	9	j n
milk	9	n v vt
mill	9	n v
mind	9	n v
mine	9	n v vi
mineral	9	j n
ming	9	vt
minor	9	j v
minute	9	j n
mississippi	9	
mix	9	n v vt
mixed	9	
mixture	9	n
mo	9	j
mod	9	j n
mode	9	n
modern	9	j n
molecules	9	ns
money	9	n
monk	9	n
month	9	n
moon	9	n v
moral	9	j n
morbid	9	j
more	9	a j n
most	9	a j
mostly	9	
moth	9	n
mother	9	n v
motion	9	n
mould	9	n
mount	9	n v
mountain	9	n
mountains	9	ns
mouth	9	n v vt
movable	9	j
move	9	n v vt
moved	9	
movement	9	n
movements	9	ns
moves	9	ns vs
movie	9	n
moving	9	j
much	9	a j n
mud	9	n v
muscle	9	n v
muscles	9	ns vs
music	9	n
musical	9	j n
my	9	
mythology	9	n
na	9	
nail	9	n v
name	9	n v
named	9	
names	9	ns vs
narrow	9	j n v
national	9	j n
native	9	j n
natural	9	j n
naturalized	9	j
naturally	9	a
nature	9	n
nautical	9	j
ne	9	a
near	9	a j
nearly	9	
necessary	9	j
neck	9	n v
needed	9	j
needle	9	n v
neg	9	
nerve	9	n
nerves	9	n ns
ness	9	n
nest	9	n v
net	9	j n v
new	9	j
next	9	a j
night	9	n
nine	9	j n
no	9	a n
noble	9	j
noise	9	n
non	9	a
normally	9	a
north	9	a j n
northeastern	9	j
northern	9	j
northwest	9	a n
northwestern	9	j
nose	9	n v
not	9	a
note	9	n v
notes	9	ns vs
nothing	9	a n
notice	9	n v
noun	9	n
now	9	a n
nuclear	9	j
number	9	jr n v
numbers	9	ns vs
nut	9	n v
nuts	9	ns vs
o	9	i
oak	9	n
oath	9	n
ob	9	
object	9	n v vt
objects	9	ns vs
obscure	9	j v
observed	9	
obsolete	9	
obtain	9	v vt
obtained	9	
occupied	9	j
occurring	9	
occurs	9	vs
odor	9	
of	9	p
off	9	a j
offered	9	
office	9	n
officer	9	n v
official	9	j n
often	9	a
oil	9	n v
old	9	j n
older	9	jr
on	9	a j p
once	9	a n
one	9	j n pn
only	9	a j
onto	9	
open	9	j n v
opening	9	j n vg
operated	9	
operating	9	j
operation	9	n
operations	9	n ns
opinion	9	n
opinions	9	ns
opponents	9	
opposed	9	j
opposing	9	
opposite	9	j
opposition	9	n
optical	9	j
or	9	a c n
orchids	9	ns
order	9	n v
ordinary	9	j n
ore	9	n
organ	9	n
organism	9	n
organisms	9	ns
organization	9	n
organized	9	j
organs	9	ns
origin	9	n
original	9	j n
originally	9	a
ornament	9	n v
ornamental	9	n
os	9	n
other	9	j
others	9	
our	9	j
out	9	a j n v
outer	9	j jr
outside	9	a j n
over	9	a n p
own	9	j v vt
ox	9	n
pa	9	n
pack	9	j n v
pad	9	n v
paid	9	j
pain	9	n v
paint	9	n v vt
painting	9	n vg
pair	9	n v vt
pairs	9	ns vs
pakistan	9	
pal	9	n v
pale	9	j n v
palm	9	n
pan	9	n v
paper	9	n v
par	9	n v
para	9	n
parallel	9	j n v
parents	9	ns
parliament	9	n
part	9	n
participial	9	j
participle	9	n
particles	9	ns
particular	9	j n
parties	9	
parts	9	n ns
party	9	n v
pas	9	n
pass	9	n ns v vi
passage	9	n
passed	9	
passengers	9	ns
passes	9	
passing	9	j n vg
passion	9	n
past	9	j n
pat	9	a j n
patients	9	ns
pattern	9	n v
pay	9	v vt
payment	9	n
peace	9	n
peculiar	9	j
pen	9	n vt
people	9	n v
per	9	p
perceived	9	j
perfect	9	j v
perform	9	v vt
performed	9	
period	9	n
person	9	n
personal	9	j n
persons	9	ns
pertaining	9	vg
pet	9	n v
petty	9	j
philosophy	9	n
phrase	9	n v
physical	9	j
physically	9	a
pi	9	n
pick	9	n v vt
picture	9	n v
pictures	9	ns vs
pie	9	n
piece	9	n v
pieces	9	ns vs
pig	9	n v
pile	9	n v
pin	9	n v
pine	9	n vi
ping	9	n v
pipe	9	n v
pit	9	n v
pitch	9	n v vt
place	9	n v
placed	9	j
places	9	ns vs
plain	9	j n vt
plan	9	n v
plane	9	n v
planes	9	ns vs
plans	9	ns vs
plant	9	n v
plants	9	ns vs
plate	9	n v
plates	9	ns vs
play	9	n v vi
played	9	j
player	9	n
players	9	ns
playing	9	n vg
plays	9	ns vs
pleasure	9	n
pledge	9	n v
plot	9	n v vt
plough	9	n
plural	9	j n
pods	9	ns vs
poem	9	n
poetry	9	n
point	9	n v
pointed	9	j
points	9	ns vs
pole	9	n v
political	9	j
poor	9	j
pope	9	n
popular	9	j
port	9	j n v
portion	9	n
pos	9	j
position	9	n v
positions	9	ns vs
possession	9	n
post	9	a n v
pot	9	n v
pound	9	n v vt
pounds	9	ns vs
pour	9	v vt
powder	9	n v
power	9	n v
powers	9	ns vs
practice	9	n v
practices	9	ns vs
practise	9	vt
praise	9	n v
prayer	9	n
preparation	9	n
prepare	9	v vt
prepared	9	j
preposition	9	n
prescribed	9	j
presence	9	n
present	9	j n v vt
press	9	n v vt
pressure	9	n
prevent	9	v vt
price	9	n v
prices	9	ns vs
priest	9	n
primarily	9	a
prince	9	n
principal	9	j n
principle	9	n
principles	9	ns
print	9	n v vt
printed	9	
printing	9	n vg
private	9	j n
pro	9	a j n
problems	9	ns
proceeding	9	n vg
process	9	n v
processes	9	
processing	9	n vg
produce	9	n v vt
produced	9	
produces	9	ns vs
producing	9	
production	9	n
program	9	n v
programs	9	ns vs
projecting	9	vg
promise	9	n v
pronoun	9	n
proof	9	n v
prop	9	n
proper	9	j
properly	9	a
properties	9	
property	9	n
proportion	9	n v
proposed	9	
protect	9	v vt
protection	9	n
provided	9	
provides	9	vs
providing	9	
provincial	9	j n
psychological	9	j
public	9	j n
published	9	j
pull	9	n v vt
pulled	9	
pump	9	n v
punishment	9	n
pur	9	
pure	9	j
purple	9	j n v
purpose	9	n v vt
purposes	9	ns vs
pus	9	n
push	9	n v vt
put	9	n v vt
putting	9	vg
qualities	9	
quality	9	j n
quantity	9	n
queen	9	n v
question	9	n v
questions	9	ns vs
quick	9	j n
quickly	9	a
quiet	9	j
ra	9	n
race	9	n v vt
racemes	9	ns
radio	9	j n v
radioactive	9	j
rag	9	n v vt
rail	9	n v vi
railway	9	n
rain	9	n v
raise	9	n v vt
raised	9	j
raising	9	j n
ram	9	j n v
ran	9	
range	9	n v vt
rank	9	j n v
rap	9	n v vt
rapid	9	j n
rapidly	9	
rare	9	j
rat	9	n v
rate	9	n v vt
rather	9	a
rays	9	ns vs
re	9	n
reach	9	n v vt
reactions	9	ns
read	9	n v vt
readily	9	a
ready	9	j n
real	9	j n
reason	9	n v
reasoning	9	n vg
receive	9	v vt
received	9	j
receives	9	vs
receiving	9	
recognized	9	j
record	9	n v vt
recorded	9	j
recording	9	n vg
records	9	ns vs
red	9	j n vt
reddish	9	
reduce	9	v vt
reduced	9	j
reed	9	n vt
reference	9	n v
refuse	9	j v vt
regard	9	n v vt
regarded	9	
region	9	n
regions	9	ns
regular	9	j n
related	9	j
relating	9	
relation	9	n
relations	9	n ns
relationship	9	n
relatively	9	a
